t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,3675938732058570.0,3710611865695486.0,34673133636920.73,0.0,0.0,0.0,0.0,0.0
2.1,5649417975296811.0,5702740483138648.0,53287861869230.35,3341527.0814842195,26943616.157671966,1090727630.6779284,21374679635.770393,12150280194.832186
3.3100000000000005,7238156810734508.0,7306522532852267.0,68273548939317.47,8989438.920952305,72483357.27764763,2931945918.6110735,56977249799.95661,32182509912.966606
4.641000000000001,8658717060789311.0,8740562569672915.0,81672902471220.34,16947492.512421973,136649574.80283776,5525256556.4788685,106858374385.25131,60069184366.472404
6.105100000000002,9991904108614964.0,1.008643024103282e+16,94248114068992.03,27416769.9547872,221063645.6934917,8936553430.108435,172304758501.63593,96528556503.5492
7.7156100000000025,1.1278354355610786e+16,1.138514834134891e+16,106382483979729.72,40702477.05678788,328186464.8503541,13265627309.708374,255236405077.70493,142630837027.36636
9.487171000000004,1.2542219219089896e+16,1.2661100011066778e+16,118303818918095.86,57193339.8180546,461152335.17183876,18639533127.852604,358086747833.032,199728432135.81265
11.435888100000005,1.37995507130013e+16,1.3930493398817742e+16,130163528506404.47,77359353.81431615,623750827.4671569,25211912197.23425,483792991045.50464,269451296670.7256
13.579476910000007,1.50619404665001e+16,1.520503505916541e+16,142070950077175.9,101756788.87466021,820467135.9049768,33164674972.571293,635829726166.4333,353725963091.6588
15.937424601000009,1.6338325950715672e+16,1.649375330800706e+16,154110385788459.47,131037240.6600724,1056555061.9926691,42711009163.25201,818267021427.0367,454805880051.71014
18.53116706110001,1.763597777835521e+16,1.7803994946150614e+16,166350415262781.7,165959675.79285958,1338134134.654801,54099375879.982735,1035846746112.6373,575302316797.4874
21.384283767210015,1.8961080461413924e+16,1.9142011599429244e+16,178849373545921.3,207405175.26140672,1672308485.5135758,67618401721.3193,1294074808509.824,718191545496.3375
24.522712143931017,2.031909458422956e+16,2.0513325350427736e+16,191658767278701.22,256394407.96682593,2067307735.1495938,83602678996.89165,1599327497189.8179,886745041139.2437
27.97498335832412,2.1714993829829296e+16,2.192296789854048e+16,204825510427247.62,314108038.44952834,2532651532.271489,102439537223.23535,1958968161270.548,1084303825827.403
31.772481694156536,2.315342645218854e+16,2.337564325884161e+16,218393447347917.97,381910381.60319674,3079340260.9406195,124576874292.39787,2381466186466.955,1313854993851.4407
35.949729863572195,2.46388285495223e+16,2.4875841714485596e+16,232404421208546.12,461376692.37022406,3720075031.2665477,150532143880.93143,2876504485268.6875,1577525673989.675
40.544702849929415,2.617550407963125e+16,2.642792039750925e+16,246899028692521.97,554324524.2802596,4469510430.952514,180902589438.4437,3455056965085.2764,1876305795954.3958
45.59917313492236,2.776767888389865e+16,2.8036158103437904e+16,261917129525204.12,662849599.0834594,5344543574.245268,216376796517.97958,4129417387743.01,2210288436651.2705
51.1590904484146,2.941953060379754e+16,2.9704786171337532e+16,277498128592946.3,789366580.2335469,6364642578.890735,257747605118.99167,4913168809899.568,2579368522863.314
57.27499949325607,3.1135191822390796e+16,3.1437992343854564e+16,293681005498450.56,936654995.388047,7552216408.945051,305926376947.45166,5821098274211.333,2984002442731.1274
64.00249944258168,3.2918719486038216e+16,3.3239890261275188e+16,310504026055233.2,1107910253.0989373,8933025605.789978,361958536965.7187,6869079905530.135,3425669803379.525
71.40274938683986,3.477402027910485e+16,3.511444413893805e+16,328004038322310.2,1306799204.4594924,10536629453.650839,427040192032.28845,8073963399998.702,3906974490241.387
79.54302432552385,3.670472039854856e+16,3.70653371504835e+16,346215244217799.8,1537519005.5333278,12396859539.517303,502535466535.5276,9453507437304.42,4431530434765.258
88.49732675807624,3.871397013697579e+16,3.909577402393914e+16,365167356252406.75,1804857178.8499038,14552302774.757841,589993990967.2032,11026386991530.97,5003792568510.047
98.34705943388387,4.080417918457974e+16,4.120821381899842e+16,384883100815990.94,2114249834.8080463,17046769411.327229,691167752614.2509,12812284005861.346,5628920824985.726
109.18176537727226,4.297668712667027e+16,4.340403741655789e+16,405375110246776.7,2471834116.1683536,19929714372.0556,808026299478.3861,14832050175884.715,6312701617027.969
121.09994191499949,4.523138392088152e+16,4.5683164611065784e+16,426642343131586.8,2884490205.399514,23256574404.911385,942769118920.0701,17107915911593.129,7061520957509.36
134.20993610649944,4.756630524908132e+16,4.804364588967827e+16,448666267652110.3,3359867803.7220583,27088980118.699368,1097833929926.9445,19663714564987.164,7882375601818.201
148.6309297171494,4.997723551364519e+16,5.04812619368766e+16,471407117066275.3,3906391928.5240545,31494801478.059536,1275899659843.4844,22525095121655.707,8782910190327.997
164.49402268886433,5.245735534868479e+16,5.298916805659944e+16,494800565093998.44,4533243208.824178,36547988042.494385,1479883033449.2646,25719706353221.84,9771472202644.953
181.94342495775078,5.499697025780136e+16,5.555762045750047e+16,518755166532578.7,5250308578.71622,42328171062.65766,1712927979000.446,29277346776411.77,10857179931537.576
201.13776745352587,5.75833528509744e+16,5.817381718134093e+16,543150869386124.9,6068099368.18176,48920003428.183,1978387438646.1353,33230084381876.812,12050001057152.914
222.25154419887846,6.020072442020016e+16,6.082187966613094e+16,567838841283932.4,6997635299.275643,56412225628.835014,2279797649337.6616,37612356256410.25,13360840880316.805
245.47669861876633,6.28303938216728e+16,6.348299309449057e+16,592642779654119.2,8050294902.831465,64896462054.18891,2620845537818.356,42461060731558.56,14801640137295.727
271.024368480643,6.545106403453707e+16,6.613571600922847e+16,617361803451492.8,9237635509.899393,74465773179.6918,3005330566575.7183,47815654447896.516,16385482816813.252
299.1268053287073,6.803930975683818e+16,6.875646260220645e+16,641774958121348.2,10571189358.449356,85213016388.29391,3437123196943.017,53718265131360.516,18126714712905.457
330.03948586157804,7.057022247189747e+16,7.1320154089468024e+16,665647300138501.8,12062246484.709398,97229101314.54807,3920123101725.448,60213829294894.336,20041073687629.51
364.0434344477359,7.301821141472811e+16,7.380102750718427e+16,688737451969567.9,13721639698.700869,110601262734.60088,4458221316740.859,67350263420736.69,22145832846677.62
401.44777789250946,7.5357938549128e+16,7.617357984851882e+16,710806420979168.8,15559551505.445663,125411510589.78398,5055271552172.493,75178677724901.25,24459958072504.195
442.5925556817604,7.756535238403902e+16,7.841361205668328e+16,731627350528259.5,17585366402.13859,141735445304.92688,5715076694372.606,83753642995800.92,27004281614097.113
487.8518112499365,7.96187696987173e+16,8.049932148372414e+16,750995722879117.6,19807593348.03485,159641637446.06384,6441396851280.698,93133522358333.44,29801693687205.152
537.6369923749302,8.14999378656042e+16,8.241237488929587e+16,768739379026429.5,22233881058.2696,179191753451.78357,7237984829448.558,103380879927120.08,32877354273998.746
592.4006916124232,8.319499653748674e+16,8.413887999615603e+16,784727589265857.6,24871141998.400173,200441554707.7279,8108653400001.335,114562975803608.4,36258927503162.664
652.6407607736655,8.469524980358912e+16,8.567016587569414e+16,798878336049986.8,27725789002.200756,223442801189.9415,9057375938203.48,126752350411975.88,39976841114684.164
718.9048368510321,8.599766226473926e+16,8.700328478889637e+16,811162992807777.8,30804071707.84704,248245956533.6736,10088418023460.666,140027489753361.33,44064573544184.93
791.7953205361354,8.710500758439371e+16,8.814116333545766e+16,821607724889949.5,34112480179.23795,274903432097.09393,11206492662245.242,154473546513966.3,48558971085618.04
871.9748525897489,8.802562674856069e+16,8.909235968400582e+16,830291209274921.5,37658163172.23821,303472947637.2963,12416926580999.354,170183071060470.6,53500597418012.15
960.1723378487239,8.87727936142253e+16,8.987042435610118e+16,837338650214936.2,41449292609.87378,334020458441.1408,13725820481549.65,187256683867924.53,58934117560475.81
1057.1895716335964,8.936373242283678e+16,9.049290955525643e+16,842912512217178.9,45495298363.989555,366622038664.8456,15140183391416.037,205803601325157.7,64908718148716.484
1163.9085287969563,8.981837826069594e+16,9.098011876333491e+16,847200828504476.5,49806902002.990814,401364147199.7009,16668021325765.7,225941915810071.47,71478565949405.88
1281.299381676652,9.015800805377709e+16,9.135372528452821e+16,850404288366186.1,54395896228.64709,438341847496.71857,18318364016877.14,247798533721557.06,78703306902895.25
1410.4293198443174,9.040388832651082e+16,9.163540726218952e+16,852723482643987.4,59274646602.11834,477654792952.1547,20101220287090.43,271508694484743.6,86648608823236.98
1552.4722518287492,9.057608133687728e+16,9.184564207748166e+16,854347643051015.9,64455328753.975494,519401083748.82495,22027461606401.82,297215027344782.1,95386752189688.28
1708.7194770116243,9.069252291833547e+16,9.200277454194597e+16,855445944269517.2,69948949979.16837,563669388309.7971,24108642518399.566,325066143398990.94,104997275085267.75
1880.5914247127869,9.076843863438803e+16,9.212242617536366e+16,856161997061925.1,75764230842.51892,610529937629.5626,26356773625771.062,355214796130447.44,115567679989304.03
2069.6505671840655,9.081610957964458e+16,9.221725709063536e+16,856611639299659.0,81906434178.64906,660025095508.1967,28784065773798.793,387815662906864.6,127194211480756.8
2277.615623902472,9.084494734514488e+16,9.229703969685365e+16,856883643076811.5,88376223990.4947,712160168621.6426,31402662129457.098,423022795395860.56,139982714713855.92
2506.3771862927197,9.086179999519582e+16,9.236896537261046e+16,857042600760888.6,95168618688.04007,766894975178.8898,34224368668068.26,460986759647842.4,154049584744013.6
2758.0149049219917,9.087139369329698e+16,9.243808784006565e+16,857133090506860.0,102272079346.96512,824136499843.2585,37260385092764.41,501851445994687.44,169522816595185.12
3034.816395414191,9.087681700418656e+16,9.2507812032039e+16,857184244297441.4,109667751534.07443,883732789559.4967,40521048208468.734,545752184240259.3,186544150565259.22
