t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,4979439179293902.0,5254691358970268.0,275252179676401.3,0.0,0.0,0.0,0.0,0.0
2.1,4956089896123740.0,9536443600669604.0,273958620090143.62,2217929658250.297,27968991593876.066,753908837005493.4,2897244335780763.5,625054990417329.6
3.3100000000000005,4906240315316147.0,1.4105578142527974e+16,271202319811239.84,4610427313463.328,58126759306389.234,1543297375452494.8,5998304528047035.0,1323796417281161.0
4.641000000000001,4876926910049274.0,1.911379447849342e+16,269581767767107.97,7222899068521.171,91060541789161.45,2408011621935570.5,9360958973292236.0,2100031764591670.2
6.105100000000002,4857898308045472.0,2.46250843279116e+16,268529852005531.6,10086919658013.367,127167299213019.88,3358952598395106.0,1.3040608943882718e+16,2961840406711793.5
7.7156100000000025,4845567952327115.0,3.0692058758664916e+16,267848230629107.0,13234073261858.293,166844147051576.5,4405038884690826.0,1.7077174719298598e+16,3916350751405934.0
9.487171000000004,4837492626176073.0,3.736951563614618e+16,267401828556016.06,16695517882735.688,210483549562094.7,5556054983305912.0,2.1509925512283304e+16,4971461618380145.0
11.435888100000005,4832068062390753.0,4.471748278059531e+16,267101959739615.47,20503483396907.945,258491735820811.34,6822570638316614.0,2.6380587214911556e+16,6136159686019192.0
13.579476910000007,4828324982409781.0,5.280219995659048e+16,266895042492318.38,24692649417557.18,311305904205361.9,8216133055249461.0,3.1734387340388904e+16,7420460982427053.0
15.937424601000009,4825675866618776.0,6.169674459528479e+16,266748599014518.72,29300851941435.203,369403065439785.25,9749385171202260.0,3.762068312922517e+16,8835547911842807.0
18.53116706110001,4823763486799751.0,7.148165173651258e+16,266642881949737.03,34369621022262.746,433306809434727.9,1.143622443504622e+16,4.409349986720913e+16,1.0393844635050368e+16
21.384283767210015,4822365784852471.0,8.22456035100361e+16,266565616059504.84,39944611785302.92,503592735517411.06,1.329194172404447e+16,5.121207136701243e+16,1.2109121670764742e+16
24.522712143931017,4821340991106398.0,9.408620358650867e+16,266508964389859.2,46076024711757.414,580893750562441.4,1.5333363344937172e+16,5.9041400819993896e+16,1.3996619690807112e+16
27.97498335832412,4820596163257206.0,1.0711084121888304e+17,266467789127219.94,52819049123259.57,665905660525606.1,1.7579003437409618e+16,6.7652859393220856e+16,1.6073189726219434e+16
31.772481694156536,4820068904877456.0,1.2143764930516266e+17,266438641012745.06,60234344379530.05,759393237707841.1,2.004923043477058e+16,7.712483486470195e+16,1.8357448877711716e+16
35.949729863572195,4819716510131939.0,1.3719656256965142e+17,266419159271028.97,68388566302423.0,862196858340585.2,2.2766449946914212e+16,8.7543440005635e+16,2.0869951523055296e+16
40.544702849929415,4819509357328424.0,1.545304836633752e+17,266407706410617.5,77354943978351.22,975239775452882.9,2.5755305991556784e+16,9.900328919778595e+16,2.3633376690862484e+16
45.59917313492236,4819426786480578.0,1.7359656647837466e+17,266403140338499.16,87213911470480.61,1099536084189772.6,2.90429024259175e+16,1.1160835123104546e+17,2.6672732898933044e+16
51.1590904484146,4819454464726259.0,1.9456762731519206e+17,266404668721987.8,98053798988277.78,1236199436962571.5,3.265904651646249e+16,1.2547288606487118e+17,3.0015582364459892e+16
57.27499949325607,4819582665492631.0,2.1763369582479168e+17,266411753861803.03,109971588299726.25,1386452568813691.5,3.663651674240473e+16,1.4072247344736248e+17,3.3692287058556372e+16
64.00249944258168,4819805122992743.0,2.4300371892979165e+17,266424049369067.7,123073737476036.52,1551637697223011.8,4.101135712490492e+16,1.5749514163985616e+17,3.7736279557969064e+16
71.40274938683986,4820118258018975.0,2.7090743225799885e+17,266441357367340.06,137477080370953.33,1733227864530374.0,4.58232005958054e+16,1.7594260509257587e+17,4.218436200932803e+16
79.54302432552385,4820520649322819.0,3.0159741502162976e+17,266463599270504.6,153309806531480.06,1932839294877151.2,5.111562416337709e+16,1.9623162075050355e+17,4.707703675774664e+16
88.49732675807624,4821012671534100.0,3.3535134576713363e+17,266490795766880.06,170712527498342.2,2152244840883219.0,5.693653889714422e+16,2.1854547370745626e+17,5.245887232685064e+16
98.34705943388387,4821596248958830.0,3.724744780166416e+17,266523053209016.66,189839435668088.66,2393388597989428.5,6.333861803948157e+16,2.4308560411599555e+17,5.837890852533782e+16
109.18176537727226,4822274692202381.0,4.133023565325365e+17,266560554582055.16,210859562037225.3,2658401766291652.0,7.037976685864424e+16,2.7007338853411565e+17,6.48911045646667e+16
121.09994191499949,4823052595691359.0,4.5820379676924666e+17,266603553838503.6,233958139210902.5,2949619840504926.5,7.81236381865607e+16,2.9975209018555923e+17,7.205483426788062e+16
134.20993610649944,4823935781332002.0,5.075841520359838e+17,266652372783433.94,259338076008640.03,3269601208099367.5,8.664019793567834e+16,3.3238899388777946e+17,7.993543277430226e+16
