t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,4091111498795143.5,4161545596435983.0,70434097640829.31,0.0,0.0,0.0,0.0,0.0
2.1,5930999773476541.0,6533952590220876.0,102110154682752.45,69855343459.94676,658902563956.926,29642491763666.375,348756360629129.56,121715051761363.1
3.3100000000000005,7194228218610101.0,8564341888652488.0,123858259052023.23,177921398692.49405,1678148358212.8447,75217162723669.9,865804396809542.8,303377781700242.25
4.641000000000001,8162334437984561.0,1.0494563049047742e+16,140525457194144.69,318138225261.12756,3000593474723.717,134211513322164.67,1522160535608867.5,532012373237996.7
6.105100000000002,8940170637912073.0,1.2421035050051126e+16,153916915307050.56,488511541682.94727,4607442611342.936,205840017901846.1,2311607633599322.5,804403891177800.0
7.7156100000000025,9580350546891814.0,1.4398249764594416e+16,164938445925347.28,688541608249.0579,6493993789856.074,289938647262846.9,3234988527101068.5,1120851062015233.8
9.487171000000004,1.0114156023314462e+16,1.6464397844044792e+16,174128605864928.12,918519641563.7963,8663003099417.257,386670611303617.1,4296525684800346.5,1483335396020431.2
11.435888100000005,1.0562433781886888e+16,1.8650474491206476e+16,181846297549558.03,1179275050329.4353,11122301168704.824,496421642406296.8,5502651206577275.0,1894819986567465.5
13.579476910000007,1.0940260217029152e+16,2.0984284859792024e+16,188351079979077.5,1472076627717.9844,13883861466467.627,619759389358052.4,6861589142224628.0,2358969093106936.5
15.937424601000009,1.1259207838611636e+16,2.349249565556611e+16,193842188342016.34,1798598028360.045,16963474805323.283,757419552489324.6,8383219175904336.0,2880044827385079.0
18.53116706110001,1.1528547657273534e+16,2.6201826183794228e+16,198479234626449.53,2160913611698.2886,20380710225364.746,910304776093602.2,1.0079070202230854e+16,3462882689732690.5
21.384283767210015,1.175592912884421e+16,2.913982383870845e+16,202393913737400.3,2561509542398.345,24159019792074.04,1079490101271899.6,1.196238523845782e+16,4112904927062587.0
24.522712143931017,1.1947784924346922e+16,3.233542779201166e+16,205696972131177.28,3003302702789.157,28325917103189.848,1266231916353779.2,1.4048230272711554e+16,4836154486662264.0
27.97498335832412,1.210958425569458e+16,3.581942326004033e+16,208482569139248.44,3489663690407.7676,32913194351572.56,1471978852699869.0,1.6353632455647016e+16,5639342268817654.0
31.772481694156536,1.2246000948951246e+16,3.9624841889785336e+16,210831170559919.44,4024442245961.313,37957162327917.086,1698383919325970.2,1.8897739686103824e+16,6529904560270410.0
35.949729863572195,1.2361033126944228e+16,4.378734044730518e+16,212811609141237.16,4611994697094.926,43498909440457.47,1947317684970669.5,2.1701997747757628e+16,7516069374353667.0
40.544702849929415,1.2458095280691406e+16,4.834557761532342e+16,214482669700979.44,5257213734807.538,49584582728371.35,2220882631285432.2,2.4790343915651548e+16,8606931321530881.0
45.59917313492236,1.2540094252427736e+16,5.3341601851255816e+16,215894397263882.06,5965561220661.052,56265697444647.79,2521428977665686.0,2.818941783022562e+16,9812535135007570.0
51.1590904484146,1.260949522919991e+16,5.882125936779946e+16,217089233218295.97,6743104858522.691,63599483066645.11,2851572356777042.0,3.192879166321793e+16,1.1143968297461102e+16
57.27499949325607,1.2668380721147172e+16,6.483462909919937e+16,218103030695945.72,7596559539308.946,71649273357719.72,3214213732659734.5,3.604122233454809e+16,1.261346344725132e+16
64.00249944258168,1.2718506739481536e+16,7.143649000090371e+16,218966021743127.9,8533336026071.046,80484965678434.58,3612562916065404.5,4.056294900378413e+16,1.4234487018124966e+16
71.40274938683986,1.2761338167066716e+16,7.8686827411041e+16,219703426260477.25,9561585306617.393,90183439208558.16,4050159890971941.5,4.5533915600073816e+16,1.6021965302152586e+16
79.54302432552385,1.279811177067017e+16,8.6651380217396e+16,220336536844274.7,10690270501891.482,100829233483434.75,4530909999247103.0,5.0998237651326136e+16,1.7992264755323062e+16
88.49732675807624,1.2829859499112936e+16,9.540223681721498e+16,220883119885086.4,11929223416747.33,112515081622642.64,5059111621624503.0,5.700448758261782e+16,2.016345068893536e+16
98.34705943388387,1.2857445122329156e+16,1.0501848378773064e+17,221358046355782.66,13289219059512.898,125342613260294.42,5639493203824009.0,6.360612639334299e+16,2.2555429189558724e+16
109.18176537727226,1.2881592627380636e+16,1.1558691291230936e+17,221773780684067.28,14782054893969.793,139423102061724.31,6277253177326674.0,7.086195763324123e+16,2.519013053672095e+16
121.09994191499949,1.2902910331618336e+16,1.272027924666666e+17,222140795890714.44,16420636986630.465,154878278274229.7,6978104088539251.0,7.883662547905797e+16,2.809171285629952e+16
134.20993610649944,1.292191124883606e+16,1.3997070906181894e+17,222467924218658.56,18219073129262.44,171841207069639.97,7748321247412410.0,8.76011614233273e+16,3.1286786937825356e+16
148.6309297171494,1.2939030179566428e+16,1.5400548677665226e+17,222762651364282.12,20192772910079.08,190457232430152.7,8594796206452050.0,9.723358333931254e+16,3.4804664394616132e+16
164.49402268886433,1.295463798427948e+16,1.694331907760614e+17,223031362208951.78,22358554636598.723,210884985664265.12,9525095410390942.0,1.0781955082891509e+17,3.867763164996625e+16
181.94342495775078,1.296905346908366e+16,1.8639222309355248e+17,223279545446863.5,24734758920595.62,233297456766178.6,1.0547524388460134e+16,1.1945308095986747e+17,4.294125251500706e+16
201.13776745352587,1.298255327236571e+16,2.0503451875489885e+17,223511963796541.8,27341368610083.69,257883125648393.06,1.1671197892279838e+16,1.3223732869377307e+17,4.763470243842501e+16
222.25154419887846,1.299538009426297e+16,2.25526850926287e+17,223732795682115.75,30200134586981.188,284847148708657.06,1.290611641148984e+16,1.4628543647890928e+17,5.280113786264734e+16
245.47669861876633,1.3007749563812174e+16,2.4805225427866858e+17,223945753460464.06,33334706734171.016,314412594165304.2,1.4263249525203814e+16,1.6172145761415194e+17,5.848810452114088e+16
271.024368480643,1.3019855994183776e+16,2.728115762599383e+17,224154182505309.16,36770769103890.305,346821717031636.25,1.5754626569065298e+16,1.7868135806445366e+17,6.474798896359496e+16
299.1268053287073,1.3031877236296218e+16,3.0002516644473043e+17,224361144768750.75,40536177981800.97,382337261416112.06,1.739343511381678e+16,1.973141014029104e+17,7.163851810753949e+16
330.03948586157804,1.3043978806043238e+16,3.299347145715034e+17,224569489837090.4,44661101127958.49,421243773938645.7,1.9194127760310772e+16,2.1778282144506298e+17,7.922331219518322e+16
364.0434344477359,1.305631743043157e+16,3.628052482570883e+17,224781915982422.5,49178155976638.14,463848907344492.56,2.1172537755861588e+16,2.4026608689827683e+17,8.757249719321517e+16
401.44777789250946,1.3069044132815716e+16,3.989273016739791e+17,225001023279170.4,54122543980408.73,510484687770552.44,2.3346003925339564e+16,2.6495926193777248e+17,9.676338342302128e+16
442.5925556817604,1.3082306956638246e+16,4.3861926665374406e+17,225229360496984.06,59532177578472.13,561508712466068.6,2.5733505384442004e+16,2.9207596599883264e+17,1.0688121806328957e+17
487.8518112499365,1.3096253410066312e+16,4.822299377023673e+17,225469467188502.88,65447795444009.664,617305236985740.5,2.83558064584401e+16,3.2184963519146336e+17,1.1802002014277984e+17
537.6369923749302,1.3111032700096128e+16,5.301412622339096e+17,225723912152500.88,71913060710074.83,678286101863876.1,3.123561216287665e+16,3.5453518653879443e+17,1.3028350775741674e+17
