t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,5185805974765679.0,5558491209388728.0,372685234623070.56,0.0,0.0,0.0,0.0,0.0
2.1,7913488075407614.0,8557973405003605.0,568708668850112.0,47812584623.108444,639769611850.6025,14320486485386.322,50214920776062.664,10553671287965.277
3.3100000000000005,1.0063608428527784e+16,1.0986688255514924e+16,723225804907175.4,127676246690.36551,1707542010727.6929,37428926784896.94,132540356341792.08,28049520695865.22
4.641000000000001,1.1944459998235466e+16,1.3171942603217972e+16,858392151421031.0,238833082894.41226,3193151035881.613,68947504888913.72,244644583235094.47,52066381318691.586
6.105100000000002,1.3669975742913098e+16,1.5236812400931544e+16,982395385229542.2,383213138880.2138,5122350871381.788,109309082130959.9,386903310454687.8,82723316192976.89
7.7156100000000025,1.5296249023805392e+16,1.7244134273829816e+16,1099266601564561.9,564023454155.4744,7537932930930.3125,159297369835514.25,560858348273426.1,120360973965847.95
9.487171000000004,1.685524169347594e+16,1.9232204433852064e+16,1211302712927010.0,785379642373.8796,10494813009278.791,219941933356690.5,768948117387977.4,165489784052795.78
11.435888100000005,1.836672629586528e+16,2.122744072772206e+16,1319924659582518.8,1052189264164.1661,14058475014666.852,292481641965163.2,1014418821127701.9,218778644902500.6
13.579476910000007,1.984350960957278e+16,2.3249902994036064e+16,1426052793102349.5,1370125294393.0376,18304616127542.48,378352866388720.7,1301263192853805.5,281049790696430.03
15.937424601000009,2.129405555194693e+16,2.5316060762804484e+16,1530295368821698.8,1745640602467.53,23319339870658.44,479190697814969.06,1634178029016311.8,353276134731406.6
18.53116706110001,2.2723927934213284e+16,2.7440335672320908e+16,1633052228394129.0,2186003755708.3792,29199634595686.332,596837842159207.8,2018549663214594.2,436582365988326.1
21.384283767210015,2.4136635175876836e+16,2.9636040248163584e+16,1734575504706375.2,2699346536608.9746,36054009043676.734,733357983762444.2,2460467956255403.5,532250271982270.56
24.522712143931017,2.5534149866392908e+16,3.1915996853876132e+16,1835006959904843.0,3294717941601.6406,44003215085045.695,891051794100131.1,2966762603694670.5,641727696756832.8
27.97498335832412,2.6917243371540164e+16,3.4292978478350452e+16,1934402031701873.0,3982141532726.028,53181015927852.96,1072474661657884.2,3545054942815193.0,766640313174618.6
31.772481694156536,2.8285711842166196e+16,3.6780047414013976e+16,2032746075356058.8,4772674015524.971,63734971504268.04,1280455673182265.5,4203820568220451.0,908805609569239.9
35.949729863572195,2.9638537199893456e+16,3.939083528432295e+16,2129965932785738.8,5678463407151.026,75827219288344.58,1518117558793453.8,4952460150637127.0,1070248759517607.5
40.544702849929415,3.09740091877404e+16,4.213979068687152e+16,2225938703606009.8,6712805461494.968,89635232804194.34,1788897383797744.0,5801377142881766.0,1253220230579823.5
45.59917313492236,3.2289824904047276e+16,4.504241118712622e+16,2320498897981533.0,7890197300506.014,105352543796561.69,2096567810356711.2,6762061732850985.0,1460215100792640.5
51.1590904484146,3.3583176649263212e+16,4.8115470882198936e+16,2413444749550152.5,9226387554209.5,123189418677016.83,2445258794613870.5,7847180761256822.0,1693994121283582.0
57.27499949325607,3.4850835501849492e+16,5.137725143545092e+16,2504544221379338.0,10738422796107.715,143373486227095.7,2839479643730522.0,9070673547801696.0,1957606611666768.2
64.00249944258168,3.608923580113231e+16,5.484778240687043e+16,2593541077056907.5,12444690719964.76,166150322227391.6,3284141442556358.0,1.0447853757918652e+16,2254415315258806.5
71.40274938683986,3.729456410203201e+16,5.85490953480536e+16,2680161273110397.5,14364961368803.54,191784008099890.62,3784579980399803.5,1.199551764078516e+16,2588123382257540.5
79.54302432552385,3.846285486326406e+16,6.2505495196800024e+16,2764119835289695.5,16520428809064.95,220557694967144.22,4346579472588189.5,1.3732059205019726e+16,2962803696862242.5
88.49732675807624,3.959009394984568e+16,6.674385182113426e+16,2845128296397602.5,18933756927474.0,252774221563846.22,4976397585145103.0,1.5677593188352252e+16,3382930822902037.5
98.34705943388387,4.067232986461185e+16,7.129391402446762e+16,2922902689553230.5,21629134464055.12,288756853521615.6,5680792536118891.0,1.7854087032208336e+16,3853415913989581.5
109.18176537727226,4.170579142030767e+16,7.618864787631563e+16,2997172004315707.0,24632345884869.22,328850231415036.25,6467053360050429.0,2.0285503495716796e+16,4379645018625127.0
121.09994191499949,4.268700931953276e+16,8.14646008517376e+16,3067686923677703.0,27970866092649.992,373421633632807.75,7343034770420242.0,2.2997956032319468e+16,4967521306061704.0
134.20993610649944,4.361293786529801e+16,8.7162292947135e+16,3134228570504209.5,31673988070070.285,422862674940346.7,8317198415327426.0,2.6019879591886084e+16,5623511841108818.0
148.6309297171494,4.448107186555946e+16,9.332663571018072e+16,3196616908672340.5,35772993104349.92,477591569277417.06,9398662658198656.0,2.9382220075708284e+16,6354699639660204.0
164.49402268886433,4.5289552847019e+16,1.0000738001421546e+17,3254718376031664.5,40301372992961.68,538056082405400.7,1.0597263279787214e+16,3.3118646221332044e+16,7168841834647247.0
