t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,2044462445176390.5,2045241361850040.5,778916673647.7137,0.0,0.0,0.0,0.0,0.0
2.1,3137791266148228.0,3146471678068138.0,1195462369403.1697,4709524496.301992,16332624810.290585,196994275544.52768,2926853015353.584,4340060110303.4033
3.3100000000000005,4014170955071974.5,4035806587532739.0,1529352943232.6865,12647793605.168758,43862536355.5017,529127478835.9761,7861496440875.152,11659145267856.117
4.641000000000001,4794079631640700.0,4833750708967675.0,1826489172169.7778,23799297342.321613,82535952079.7495,995831284271.1877,14795489417428.262,21946932203685.375
6.105100000000002,5522231327812783.0,5585450479044185.0,2103906587565.4558,38421251538.81536,133244903636.42236,1607966173018.2417,23890192214746.086,35445420100892.99
7.7156100000000025,6220872014353492.0,6313798144841239.0,2370080648142.532,56909571994.33792,197362436184.89124,2382225644977.9097,35393626370450.33,52525925816008.336
9.487171000000004,6902981445994700.0,7032588840507977.0,2629956491001.4478,79767100958.54443,276632418673.0224,3339817829144.786,49620887193496.695,73660333479997.27
11.435888100000005,7576940487153471.0,7751180185923357.0,2886727128964.4146,107597111678.7104,373147018516.3852,4506206593775.12,66950296158590.63,99415724758358.03
13.579476910000007,8248545226294184.0,8476512617085734.0,3142600804936.8755,141106110548.2304,489356420499.8443,5911244681991.906,87825375826262.38,130457706947314.2
15.937424601000009,8921988965541040.0,9214104322813416.0,3399175118621.4116,181110977801.1665,628093591951.3191,7589492347775.384,112759578257774.95,167557906978443.06
18.53116706110001,9600372598565002.0,9968578181568022.0,3657631474597.531,228548310748.77405,792606686590.1782,9580633149112.809,142342454055189.16,211603709326796.1
21.384283767210015,1.028596862143595e+16,1.0743943937677822e+16,3918835667407.17,284484604224.3316,986594352166.6418,11929930927554.781,177246430693627.88,263609039996886.5
24.522712143931017,1.0980341051146902e+16,1.1543736055577272e+16,4183383569135.5776,350126028186.55225,1214239641523.8147,14688677376644.914,218233449239842.9,324725128575057.6
27.97498335832412,1.1684375120762756e+16,1.2371059186820032e+16,4451612442938.978,426826503907.6698,1480238023774.4758,17914577260593.83,266160674193390.22,396250137632653.3
31.772481694156536,1.2398251800191396e+16,1.3228574320011628e+16,4723591235781.536,516092751545.32935,1789814893016.77,21672017219655.848,321984474643603.2,479636529076620.8
35.949729863572195,1.3121395298175304e+16,1.4118451971525034e+16,4999100577336.303,619585095371.5144,2148728365540.0657,26032168888640.76,386761946040025.06,576495144382802.2
40.544702849929415,1.3852418586935364e+16,1.5042316127792678e+16,5277612025542.014,739113106903.9951,2563254175960.044,31072889383472.598,461649424829501.1,688595247335963.8
