t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,5609436412156113.0,6314502961325419.0,705066549169302.1,0.0,0.0,0.0,0.0,0.0
2.1,8620167605337573.0,9704393603074136.0,1083473349936358.1,986542870.5040752,14604308523.70436,175777900943.25558,466638604672.26776,94640443200.11589
3.3100000000000005,1.104357069943042e+16,1.2433657811815592e+16,1388061466165541.5,2653923985.746257,39241938325.55326,465348239384.2273,1261859028934.1816,256543089024.1279
4.641000000000001,1.3210007601318374e+16,1.4874189180671528e+16,1660353356143449.8,5003279758.308795,73932583250.0266,868230915853.8339,2393357178591.5635,487699252245.51587
6.105100000000002,1.5242730500766312e+16,1.7164786776485162e+16,1915839761775831.5,8093991979.354766,119555095400.88013,1394686734809.9058,3898058061417.1045,796120059373.5118
7.7156100000000025,1.7203688895769644e+16,1.9375265486116844e+16,2162306693819811.0,12016176801.281424,177440187015.04654,2060013966724.441,5827506960138.894,1192919236707.1677
9.487171000000004,1.9129666476877788e+16,2.1547130673597812e+16,2404377258197883.0,16884605366.703562,249281538563.9057,2883525739957.1187,8245397507831.494,1691849130472.6433
11.435888100000005,2.10450756105121e+16,2.3707980659092316e+16,2645119699640762.0,22838040779.754673,337126342223.4746,3888464015424.951,11227576939999.686,2309343601041.557
13.579476910000007,2.296750884495487e+16,2.5877757344521476e+16,2886745128262560.5,30040716483.73242,443397239816.1982,5102255427403.206,14862932381493.934,3064745538791.3496
15.937424601000009,2.4910493454352676e+16,2.807184913003764e+16,3130953717623283.5,38685009429.45093,570931802694.1212,6556954759201.077,19254749705132.637,3980636785314.0933
18.53116706110001,2.6884996078066516e+16,3.0302787404711716e+16,3379123811950349.0,48994997448.12096,723035013271.566,8289827457376.588,24522413358345.523,5083243868419.642
21.384283767210015,2.8900306694460416e+16,3.258124486938904e+16,3632423026614410.0,61230814028.111435,903543483776.9073,10344057986211.082,30803405437291.26,6402910592911.116
24.522712143931017,3.0964588682439444e+16,3.4916658480556572e+16,3891877381638656.0,75693810307.2802,1116901562955.5999,12769585818753.037,38255599866810.664,7974635419649.3125
27.97498335832412,3.30852375325514e+16,3.731763752178092e+16,4158416385741009.5,92732585137.78227,1368250229947.0635,15624078743160.658,47059867323610.664,9838674606653.719
31.772481694156536,3.526912415077377e+16,3.979224233160684e+16,4432903615631853.5,112749977402.91112,1663530163767.9626,18974058321645.684,57423014934593.336,12041211803813.773
35.949729863572195,3.752276559239931e+16,4.2348181910278136e+16,4716158174491893.0,136211141387.9826,2009600768271.3953,22896196552333.566,69581054904098.71,14635080020975.979
40.544702849929415,3.9852448811426616e+16,4.49929589051609e+16,5008970245294163.0,163652851680.6083,2414377311560.4053,27478807630226.277,83802580835923.23,17680429810652.293
45.59917313492236,4.226432450175629e+16,4.773397950774517e+16,5312112885248239.0,195694215860.90283,2886988814963.3433,32823569253370.695,100391064548130.95,21244803908325.055
51.1590904484146,4.4764486930531864e+16,5.057863943012885e+16,5626352060063844.0,233049030592.54465,3437960207490.664,39047542981140.875,119681450137593.94,25400437176375.656
57.27499949325607,4.7359065261481784e+16,5.3534393296708984e+16,5952458123596562.0,276540155377.28253,4079424431436.5376,46285671309117.52,142016479132427.28,30211796602152.562
64.00249944258168,5.00543765435533e+16,5.660881240417582e+16,6291225051214494.0,327116606595.3664,4825375357965.89,54694131564317.45,167666428909621.25,35697756969540.49
71.40274938683986,5.285720096278162e+16,5.980963427515681e+16,6643505045464793.0,385874533169.2182,5691979554557.649,64454617832780.36,196637005870491.72,41758789119320.984
79.54302432552385,5.577507297393494e+16,6.3144806408685736e+16,7010245136895371.0,454082477133.91296,6697952542027.906,75775708910598.48,228416335592290.75,48144218333329.45
88.49732675807624,5.88160570273287e+16,6.66225258721604e+16,7392458977967595.0,533207058739.676,7864936597751.461,88878060564070.45,262100636992950.97,54633025650567.28
98.34705943388387,6.198788896994553e+16,7.025127565023512e+16,7791118875697198.0,624935279746.2079,9217817365211.273,103957178051111.98,297187585885888.56,61280288010367.266
109.18176537727226,6.529771704086316e+16,7.403985766670942e+16,8207123205476940.0,731202521098.3033,10785121188977.416,121151981704010.39,334024693172059.1,68324421783119.02
121.09994191499949,6.875272304141048e+16,7.799742074618261e+16,8641374481335507.0,854233580207.9894,12599605976611.15,140542511637136.17,373360914879392.8,75965957363340.42
134.20993610649944,7.236055774415467e+16,8.213347908721307e+16,9094834056921630.0,996590142416.7946,14698934255046.338,162168241489771.6,415894788800664.25,84328731448718.02
148.6309297171494,7.612933393439805e+16,8.645791278866227e+16,9568521193506712.0,1161220948013.8374,17126361776974.145,186057543602349.12,462206323273263.9,93506211157203.5
164.49402268886433,8.006748869274806e+16,9.098093658492976e+16,1.0063495677609894e+16,1351516892787.6104,19931469903588.13,212260429546660.53,512820283122801.3,103588515105740.83
181.94342495775078,8.41836367250559e+16,9.571301666192571e+16,1.058083930964635e+16,1571372642080.477,23170960006162.21,240873537820044.03,568254121180562.2,114670635574498.53
201.13776745352587,8.848639118849654e+16,1.0066470939288555e+17,1.1121633311867288e+16,1825254715054.4563,26909504134062.92,272051637670898.66,629043268287189.0,126855227714270.64
222.25154419887846,9.298410879368456e+16,1.0584639193279576e+17,1.1686926232982794e+16,2118275087547.5027,31220635080438.21,306007888101108.0,695755880194148.9,140254227665111.39
245.47669861876633,9.7684521813219e+16,1.112678551363621e+17,1.2277687663005548e+16,2456268467727.262,36187649413365.234,343008468148575.3,769003085031308.1,154990189076697.47
271.024368480643,1.0259423038928648e+17,1.1693773622418856e+17,1.289474442362476e+16,2845870338523.3213,41904485788510.88,383366275558464.94,849447214063320.6,171197565528625.84
299.1268053287073,1.0771804453740547e+17,1.2286278288636302e+17,1.3538697908473438e+16,3294591717263.417,48476528725816.21,427436141711063.1,937809150384635.8,189024027945139.44
330.03948586157804,1.1305818570480797e+17,1.290469611879528e+17,1.4209823815762692e+16,3810885478953.796,56021276462723.914,475612263274742.06,1034875378731107.4,208631863434665.44
364.0434344477359,1.1861338039222245e+17,1.3549044397329878e+17,1.4907958358578616e+16,4404198164352.2295,64668802329187.66,528327672486569.25,1141505064232975.8,230199485284646.78
