t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,3333434500519202.0,3351729361711353.0,18294861192158.418,0.0,0.0,0.0,0.0,0.0
2.1,5110652965672646.0,5157515193571296.0,28048747269165.387,1626225877.1042147,11376504540.150414,386367472045.99664,9381729683581.945,9032380743436.203
3.3100000000000005,6531010871165716.0,6616862012552077.0,35844080052296.05,4363530369.621777,30525587568.381744,1036513096656.3107,25086901684589.703,23848757434854.97
4.641000000000001,7790964601471146.0,7927214879268420.0,42759068890409.72,8203228626.10899,57386504254.27142,1948479909080.1487,47073949457157.914,44403189807746.57
6.105100000000002,8963179212044317.0,9162621005585062.0,49192520387623.35,13229983420.429165,92551528059.80775,3142491869009.8057,75834942652765.5,71166057119849.14
7.7156100000000025,1.008357650721668e+16,1.0360696975651354e+16,55341583675741.51,19575151217.237267,136939576434.0211,4649880528852.836,112126565832275.23,104845923670167.16
9.487171000000004,1.1172891511986108e+16,1.15441822767726e+16,61320058504494.7,27405448854.53603,191716930671.55777,6510410919000.101,156907285457495.28,146333887525995.7
11.435888100000005,1.2244296384122024e+16,1.2728579469717424e+16,67200237448129.83,36920307326.92474,258278725410.3104,8771668761872.689,211323315129285.25,196692665223378.7
13.579476910000007,1.3306699489809114e+16,1.3925480046238156e+16,73031012174200.55,48352401840.85789,338252657360.34894,11489203607879.709,276712439502812.78,257161296084976.3
15.937424601000009,1.4366373615126336e+16,1.5144226408491442e+16,78846809533012.83,61969699205.51854,433513308445.31586,14727035726728.736,354616465032200.2,329167000065535.0
18.53116706110001,1.5427838146084682e+16,1.639283225572336e+16,84672433213584.69,78078408388.07535,546202787012.8657,18558382232486.11,446798882223525.3,414340130773658.06
21.384283767210015,1.6494373726077772e+16,1.7678536643911056e+16,90525888330624.84,97026587750.74422,678755962843.6003,23066545170336.14,555266340590211.8,514528361191514.56
24.522712143931017,1.7568345469079944e+16,1.900816288585166e+16,96420155310582.44,119208334363.84132,833929773961.8035,28345945156981.46,682293432353956.0,631804745841844.4
27.97498335832412,1.8651426289529188e+16,2.038836748080426e+16,102364415589164.9,145068596599.94107,1014836893274.0035,34503311724547.996,830450819454522.4,768462739016976.1
31.772481694156536,1.9744771463094644e+16,2.1825824386304972e+16,108365009649442.47,175108747717.89526,1224984717932.91,41659064426792.92,1002637110044358.4,926991645624064.8
35.949729863572195,2.0849171233305084e+16,2.3327369809390204e+16,114426274568456.17,209893123476.38354,1468321100991.4675,49948934134578.766,1202115015466523.0,1110030137691166.5
40.544702849929415,2.1965189585627436e+16,2.4900121583395108e+16,120551305645561.75,250056724939.70023,1749288231269.5552,59525873189494.29,1432552006396594.8,1320303467579865.8
45.59917313492236,2.309328223262442e+16,2.6551580394038708e+16,126742603933629.34,296314187032.6981,2072885362977.0396,70562278862345.34,1698064840402796.5,1560559238665526.5
51.1590904484146,2.4233877625950836e+16,2.8289715485480196e+16,133002520849399.05,349469917074.3023,2444739722791.872,83252508042658.89,2003266148828972.2,1833522472168577.0
57.27499949325607,2.538740410592755e+16,3.0123034142842824e+16,139333407170556.72,410429065858.3115,2871183231639.592,97815604949969.64,2353310270445648.0,2141889142051575.8
64.00249944258168,2.655425408198927e+16,3.206063206144191e+16,145737416440761.56,480208785100.776,3359331219046.3315,114498117146127.94,2753935299915616.0,2488367605945981.0
71.40274938683986,2.7734677139513204e+16,3.4112221041719176e+16,152215918304484.75,559948878588.3479,3917156885417.96,133576796578016.1,3211497730556198.0,2875776351003284.5
