t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,2490588835008749.5,2493364850322479.5,2776015313740.5356,0.0,0.0,0.0,0.0,0.0
2.1,3827191945762402.0,3832414958096999.5,4265795695630.427,196333719.3064718,903137478.7708716,16631712226.053677,326235232760.74896,613250222777.0524
3.3100000000000005,4902729264060865.0,4910767361088977.0,5464591647923.986,528034883.95720613,2428966222.184299,44735789728.24076,877435607401.3531,1648376981948.4045
4.641000000000001,5863942241730177.0,5875328062955966.0,6535961476824.427,995182979.7519423,4577851912.7632265,84324344226.57587,1653843447669.8025,3106118922195.6953
6.105100000000002,6765549458406483.0,6780934009077361.0,7540894613732.118,1609413950.0917535,7403320036.343345,136389861746.4215,2674926750624.424,5023326710786.519
7.7156100000000025,7635035389074747.0,7655187344238081.0,8510025305935.3545,2388425062.6769376,10986778203.12325,202440414616.16284,3970262264485.9575,7455851975030.419
9.487171000000004,8488701468508001.0,8514518475250508.0,9461523163244.43,3354744616.2945013,15431856799.882093,284396197651.5715,5577507701359.854,10474793078834.697
11.435888100000005,9337348106225666.0,9369873750743740.0,10407426342429.502,4535575615.348711,20863689894.88166,384577197767.77234,7542160238295.298,14166081474046.379
13.579476910000007,1.0188738997987968e+16,1.0229183898308846e+16,11356388273337.28,5963059139.185693,27430126735.05695,505726648155.37805,9918015950620.047,18631376262888.758
15.937424601000009,1.1048821800830132e+16,1.1098588549256648e+16,12315038225433.568,7674766054.806346,35303993612.37009,651054128901.0756,12768013134327.855,23989664178145.957
18.53116706110001,1.1922390655297564e+16,1.19831027575994e+16,13288719756115.684,9714350385.560135,44686099326.54049,824292746516.9409,16165349203821.049,30379340145623.777
21.384283767210015,1.281346690814582e+16,1.2887002024230844e+16,14281915064657.447,12132338078.645214,55808863447.22808,1029768267426.5664,20194827970298.47,37960663581158.34
24.522712143931017,1.3725520355417394e+16,1.3814048191241334e+16,15298491589821.057,14987036548.39003,68940500095.4449,1272479090545.1565,24954413859855.42,46918523747073.914
27.97498335832412,1.4661587394655676e+16,1.4767612568223142e+16,16341833702211.328,18345548094.315678,84389679488.73732,1558185782204.0125,30556966839191.68,57465452016268.94
31.772481694156536,1.5624311864959776e+16,1.5750721974052902e+16,17414888224436.238,22284858907.992203,102510537130.68431,1893507968342.3909,37132114386805.38,69844803117517.266
35.949729863572195,1.6615920431944804e+16,1.6766039379486192e+16,18520136995044.793,26892957666.652714,123707819040.37358,2286024916459.1636,44828189162937.266,84333995690314.8
40.544702849929415,1.7638139843241558e+16,1.781578622240005e+16,19659504641448.305,32269916953.147488,148441855937.9776,2744374418406.3037,53814128273812.95,101247660051921.02
45.59917313492236,1.8692064649790924e+16,1.8901614662247016e+16,20834211142124.75,38528851178.33575,177232969318.10345,3278342960435.8135,64281198999831.805,120940497533166.39
51.1590904484146,1.9777988445624424e+16,2.0024442447411812e+16,22044583726641.875,45796650789.018105,210664848440.28244,3898939015889.596,76444393876138.38,143809623669503.88
57.27499949325607,2.0895216916666148e+16,2.1184268296614496e+16,23289848500122.38,54214387852.29484,249386415685.23923,4618440916685.18,90543330943602.05,170296158784412.88
64.00249944258168,2.2041884915235776e+16,2.2379989658956772e+16,24567926554853.324,63937294234.34718,294111725912.616,5450411289609.306,106842505606118.94,200885851250241.56
