t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,3048960015052811.5,3059211791922458.0,10251776869658.717,0.0,0.0,0.0,0.0,0.0
2.1,4685825211566395.0,4701672586516484.0,15755545419657.941,8509162.006199095,52334948.59788608,1481882687.7495518,36353674900.49712,53933128715.832
3.3100000000000005,6003534781309484.0,6023966526119221.0,20186190378710.426,22890215.70709247,140784253.0498732,3986360077.816884,97684909898.22614,143719486567.35397
4.641000000000001,7181722342368750.0,7206331414243681.0,24147708921948.695,43151445.02016919,265398880.68381083,7515265906.35903,184045777879.37067,269493358840.98
6.105100000000002,8287410120820473.0,8316020369906590.0,27865455443115.848,69803285.12202208,429318223.6700345,12157956562.504377,297628131140.98663,434508433763.46674
7.7156100000000025,9354300593985272.0,9386857501164474.0,31452750578531.06,103620809.35105316,637309292.9153731,18049996728.006046,441750034774.39386,643615639083.1321
9.487171000000004,1.0402421768707364e+16,1.0438948707398822e+16,34976936159196.258,145591082.470315,895442924.965225,25364051878.83924,620635013647.4781,902962432713.8302
11.435888100000005,1.1445082678485968e+16,1.1485660516261214e+16,38482762255153.18,196907210.4367116,1211057187.7567225,34308917998.090202,839389135619.4983,1219969502077.2397
13.579476910000007,1.2491891711323892e+16,1.2536648702299106e+16,42002535949170.664,258980808.18033162,1592834063.066444,45131772617.62037,1104056351633.5637,1603415086909.0293
15.937424601000009,1.3550254641052048e+16,1.359936159907161e+16,45561158291424.71,333464696.1045537,2050939038.7317188,58122227218.898735,1421717514636.6082,2063575582550.014
18.53116706110001,1.4626193242396334e+16,1.4679861774022772e+16,49178876796364.01,422283117.5764173,2597206956.523441,73617715043.21248,1800621424336.223,2612396200641.522
21.384283767210015,1.5724826283200126e+16,1.578330897770673e+16,52872902721785.63,527668685.17723715,3245369241.4821987,92010081709.15501,2250343881448.526,3263664783736.0684
24.522712143931017,1.6850668123183058e+16,1.6914260080886508e+16,56658415070398.82,652206061.21075,4011322543.243181,113753384547.65512,2781973399085.496,4033152320814.7065
27.97498335832412,1.8007820967068446e+16,1.8076862259269828e+16,60549207015526.59,798882736.4971058,4913441023.0008335,139372968622.54337,3408322886986.5747,4938677006489.89
31.772481694156536,1.920009922143472e+16,1.927497796823233e+16,64558104032317.195,971147384.5889175,5972935213.560211,169475907528.04474,4144166385555.9976,6000056389613.113
35.949729863572195,2.0431104378110036e+16,2.051226018339655e+16,68697215679263.01,1172976160.2377021,7214259712.716648,204762880487.3847,5006499229420.235,7238940261402.5625
40.544702849929415,2.1704256943321428e+16,2.179218448056498e+16,72978042950713.53,1408946937.3631907,8665569672.901445,246041497298.5056,6014818953407.419,8678559325525.44
45.59917313492236,2.302278452776658e+16,2.3118037136582884e+16,77411438226099.88,1684320786.0260134,10359221772.911179,294240969741.95605,7191422651449.55,10343463426473.94
51.1590904484146,2.438966125464004e+16,2.4492854473670388e+16,82007401532942.22,2005128946.6933599,12332308957.267282,350427857770.3642,8561714102248.306,12259338099421.822
57.27499949325607,2.5807493106399636e+16,2.5919308110243788e+16,86774695037543.84,2378262222.4768834,14627210006.57718,415822398697.1633,10154510663444.611,14452970272215.21
64.00249944258168,2.727834677561571e+16,2.7399533688581252e+16,91720267577745.95,2811558214.9821696,17292125812.23411,491814680590.2146,12002335924319.918,16952391098825.873
71.40274938683986,2.8803525556465396e+16,2.8934906588606084e+16,96848501129252.67,3313880390.839297,20381565385.869278,579979683163.5128,14141680011222.791,19787175871221.887
79.54302432552385,3.0383303625341692e+16,3.052577593780471e+16,102160317363290.86,3895181826.151671,23956737627.832508,682090021993.5073,16613206159305.232,22988846999007.523
88.49732675807624,3.2016637969556116e+16,3.217117615211007e+16,107652209051206.97,4566545843.817,28085800993.890762,800125130932.5543,19461880631275.113,26591315393809.125
98.34705943388387,3.3700883401110936e+16,3.386854145258569e+16,113315281844187.2,5340195758.03574,32843923198.776096,936275624903.6835,22737003963228.8,30631305923469.11
109.18176537727226,3.543153916576752e+16,3.5613451912207816e+16,119134402289645.86,6229466593.818787,38313107117.77977,1092941704980.8406,26492125092895.594,35148734779027.227
121.09994191499949,3.720205511019069e+16,3.739943906814747e+16,125087546105089.89,7248732905.748721,44581746778.436646,1272724690715.466,30784825960611.652,40187030720650.17
134.20993610649944,3.900372163283791e+16,3.9217875412784616e+16,131145428164676.88,8413288618.489115,51743888396.76037,1478411079518.135,35676372161848.78,45793411363677.836
148.6309297171494,4.082566185321104e+16,4.105796628743888e+16,137271476181949.61,9739177152.79089,59898185812.62642,1712948938118.796,41231234665014.695,52019137079835.016
164.49402268886433,4.265493795571928e+16,4.29068562178567e+16,143422188289402.22,11242973092.601637,69146558076.46266,1979416943565.6887,47516498252346.65,58919769120836.37
181.94342495775078,4.44767775728326e+16,4.47498556300539e+16,149547894233263.75,12941520487.324263,79592580537.51945,2280987043894.8438,54601184329446.78,66555457513719.14
201.13776745352587,4.62749207707042e+16,4.657078857707245e+16,155593922076109.44,14851637757.00758,91339670741.37744,2620882535382.8384,62555529422853.96,74991281025341.0
222.25154419887846,4.803208332637942e+16,4.835245723039419e+16,161502155911442.97,16989805098.083725,104489166888.18294,3002334362376.5024,71450276182357.88,84297658586673.94
245.47669861876633,4.973052663247073e+16,5.007721353549193e+16,167212952094906.6,19371856943.275074,119138437505.48398,3428539588790.734,81356050423941.88,94550850619280.8
271.024368480643,5.135271773794119e+16,5.172762159963291e+16,172667358541330.5,22012708588.192646,135379201290.87032,3902627137976.6953,92342913890479.47,105833570212054.9
299.1268053287073,5.288205417313876e+16,5.328718550653873e+16,177809551845022.16,24926151203.497215,153296267450.23734,4427636830833.9,104480194771104.11,118235727534368.4
330.03948586157804,5.430361759973997e+16,5.4741106618050744e+16,182589371315054.4,28124751329.54122,172966918384.9211,5006518178316.282,117836702179572.25,131855334968049.95
364.0434344477359,5.560490926867909e+16,5.607702332166714e+16,186964791838319.28,31619887685.7214,194461136500.48242,5642154981282.952,132481421676075.5,146799603468198.8
401.44777789250946,5.6776510943239896e+16,5.728567679690817e+16,190904146126702.22,35421948105.25186,217842815302.04773,6337420274579.581,148484761792610.88,163186260710941.44
442.5925556817604,5.781261003111165e+16,5.836144138769206e+16,194387890384590.1,39540691862.39698,243171987101.68045,7095263367688.729,165920373328079.34,181145116820949.56
487.8518112499365,5.8711329775108584e+16,5.930266019666288e+16,197409714513902.44,43985758241.278725,270507949572.33658,7918826747699.121,184867494103803.12,200819892481097.66
537.6369923749302,5.947481634066228e+16,6.011173743508708e+16,199976834920672.44,48767273394.92836,299912996352.0912,8811585787329.668,205413686906319.4,222370306540790.22
592.4006916124232,6.010905497028733e+16,6.079495934395907e+16,202109376350558.5,53896478793.21397,331456280175.1884,9777499233815.44,227657748316487.38,245974397011967.38
652.6407607736655,6.062341560377115e+16,6.136204371709548e+16,203838844094543.9,59386281792.53239,365217197055.4187,10821154305814.578,251712487446718.3,271831023998354.0
718.9048368510321,6.102996095381896e+16,6.182545068607559e+16,205205797488035.25,65251618417.85879,401287615841.201,11947887960475.371,277707026027102.38,300162481546723.25
791.7953205361354,6.134258168201016e+16,6.21995191808747e+16,206256942061862.44,71509525405.6435,439772320215.24426,13163866410381.549,305788273268992.6,331217135277559.94
871.9748525897489,6.157604788795523e+16,6.249951820566276e+16,207041940310026.28,78178844857.51434,480787191882.76715,14476108684220.861,336121291361496.25,365272011315158.8
960.1723378487239,6.174507801235603e+16,6.274071415538059e+16,207610281010082.2,85279527870.49022,524454928128.8502,15892446598961.984,368888387393450.3,402635293566092.0
